Listing for omni_5min data from 20240507 to 20240515
Selected parameters:
 1 SYM/H, nT

YYYY DOY HR MN    1 
2024 128  0  0   -14
2024 128  0  5   -14
2024 128  0 10   -13
2024 128  0 15   -15
2024 128  0 20   -14
2024 128  0 25   -16
2024 128  0 30   -16
2024 128  0 35   -16
2024 128  0 40   -16
2024 128  0 45   -16
2024 128  0 50   -16
2024 128  0 55   -16
2024 128  1  0   -15
2024 128  1  5   -15
2024 128  1 10   -15
2024 128  1 15   -16
2024 128  1 20   -16
2024 128  1 25   -15
2024 128  1 30   -14
2024 128  1 35   -14
2024 128  1 40   -14
2024 128  1 45   -14
2024 128  1 50   -13
2024 128  1 55   -12
2024 128  2  0   -12
2024 128  2  5   -12
2024 128  2 10   -11
2024 128  2 15   -11
2024 128  2 20   -12
2024 128  2 25   -10
2024 128  2 30    -8
2024 128  2 35    -9
2024 128  2 40   -10
2024 128  2 45   -11
2024 128  2 50   -11
2024 128  2 55   -11
2024 128  3  0   -10
2024 128  3  5   -11
2024 128  3 10   -11
2024 128  3 15   -12
2024 128  3 20   -12
2024 128  3 25   -13
2024 128  3 30   -14
2024 128  3 35   -14
2024 128  3 40   -14
2024 128  3 45   -16
2024 128  3 50   -15
2024 128  3 55   -14
2024 128  4  0   -13
2024 128  4  5   -13
2024 128  4 10   -15
2024 128  4 15   -16
2024 128  4 20   -15
2024 128  4 25   -16
2024 128  4 30   -16
2024 128  4 35   -15
2024 128  4 40   -14
2024 128  4 45   -13
2024 128  4 50   -14
2024 128  4 55   -14
2024 128  5  0   -13
2024 128  5  5   -12
2024 128  5 10   -12
2024 128  5 15   -12
2024 128  5 20   -13
2024 128  5 25   -13
2024 128  5 30   -12
2024 128  5 35   -12
2024 128  5 40   -12
2024 128  5 45   -12
2024 128  5 50   -12
2024 128  5 55   -11
2024 128  6  0   -12
2024 128  6  5   -12
2024 128  6 10    -9
2024 128  6 15    -8
2024 128  6 20    -7
2024 128  6 25    -7
2024 128  6 30    -7
2024 128  6 35    -7
2024 128  6 40    -6
2024 128  6 45    -6
2024 128  6 50    -5
2024 128  6 55    -4
2024 128  7  0    -4
2024 128  7  5    -4
2024 128  7 10    -6
2024 128  7 15    -5
2024 128  7 20    -5
2024 128  7 25    -6
2024 128  7 30    -6
2024 128  7 35    -5
2024 128  7 40    -5
2024 128  7 45    -6
2024 128  7 50    -7
2024 128  7 55    -7
2024 128  8  0    -9
2024 128  8  5    -9
2024 128  8 10    -9
2024 128  8 15    -9
2024 128  8 20    -8
2024 128  8 25    -6
2024 128  8 30    -6
2024 128  8 35    -8
2024 128  8 40   -10
2024 128  8 45    -9
2024 128  8 50    -8
2024 128  8 55    -9
2024 128  9  0   -11
2024 128  9  5   -12
2024 128  9 10   -12
2024 128  9 15   -11
2024 128  9 20   -10
2024 128  9 25   -10
2024 128  9 30   -10
2024 128  9 35    -9
2024 128  9 40    -9
2024 128  9 45   -10
2024 128  9 50   -11
2024 128  9 55    -9
2024 128 10  0    -8
2024 128 10  5    -9
2024 128 10 10   -10
2024 128 10 15   -10
2024 128 10 20   -11
2024 128 10 25   -11
2024 128 10 30   -12
2024 128 10 35   -11
2024 128 10 40   -11
2024 128 10 45   -11
2024 128 10 50   -11
2024 128 10 55   -10
2024 128 11  0    -9
2024 128 11  5    -9
2024 128 11 10   -10
2024 128 11 15   -10
2024 128 11 20   -10
2024 128 11 25    -9
2024 128 11 30    -9
2024 128 11 35    -9
2024 128 11 40   -10
2024 128 11 45    -9
2024 128 11 50    -9
2024 128 11 55    -9
2024 128 12  0    -9
2024 128 12  5    -9
2024 128 12 10    -9
2024 128 12 15    -9
2024 128 12 20   -10
2024 128 12 25   -10
2024 128 12 30    -9
2024 128 12 35    -9
2024 128 12 40    -9
2024 128 12 45    -9
2024 128 12 50    -9
2024 128 12 55    -9
2024 128 13  0    -9
2024 128 13  5    -9
2024 128 13 10    -8
2024 128 13 15    -8
2024 128 13 20    -8
2024 128 13 25    -8
2024 128 13 30    -9
2024 128 13 35    -9
2024 128 13 40   -10
2024 128 13 45   -10
2024 128 13 50   -11
2024 128 13 55   -12
2024 128 14  0   -12
2024 128 14  5   -11
2024 128 14 10   -10
2024 128 14 15    -8
2024 128 14 20    -8
2024 128 14 25    -9
2024 128 14 30    -9
2024 128 14 35    -9
2024 128 14 40    -9
2024 128 14 45   -10
2024 128 14 50    -9
2024 128 14 55    -9
2024 128 15  0   -10
2024 128 15  5   -10
2024 128 15 10   -11
2024 128 15 15   -11
2024 128 15 20   -11
2024 128 15 25   -11
2024 128 15 30   -11
2024 128 15 35   -12
2024 128 15 40   -12
2024 128 15 45   -13
2024 128 15 50   -13
2024 128 15 55   -12
2024 128 16  0   -13
2024 128 16  5   -13
2024 128 16 10   -13
2024 128 16 15   -14
2024 128 16 20   -14
2024 128 16 25   -15
2024 128 16 30   -17
2024 128 16 35   -16
2024 128 16 40   -16
2024 128 16 45   -16
2024 128 16 50   -16
2024 128 16 55   -17
2024 128 17  0   -20
2024 128 17  5   -21
2024 128 17 10   -19
2024 128 17 15   -20
2024 128 17 20   -19
2024 128 17 25   -19
2024 128 17 30   -18
2024 128 17 35   -17
2024 128 17 40   -17
2024 128 17 45   -16
2024 128 17 50   -15
2024 128 17 55   -15
2024 128 18  0   -14
2024 128 18  5   -14
2024 128 18 10   -14
2024 128 18 15   -14
2024 128 18 20   -14
2024 128 18 25   -13
2024 128 18 30   -12
2024 128 18 35   -11
2024 128 18 40   -11
2024 128 18 45   -11
2024 128 18 50   -12
2024 128 18 55   -11
2024 128 19  0   -11
2024 128 19  5   -12
2024 128 19 10   -11
2024 128 19 15   -10
2024 128 19 20   -11
2024 128 19 25   -10
2024 128 19 30   -10
2024 128 19 35    -9
2024 128 19 40    -8
2024 128 19 45    -8
2024 128 19 50    -8
2024 128 19 55    -8
2024 128 20  0    -8
2024 128 20  5    -8
2024 128 20 10    -7
2024 128 20 15    -7
2024 128 20 20    -7
2024 128 20 25    -6
2024 128 20 30    -6
2024 128 20 35    -5
2024 128 20 40    -4
2024 128 20 45    -4
2024 128 20 50    -5
2024 128 20 55    -5
2024 128 21  0    -4
2024 128 21  5    -5
2024 128 21 10    -5
2024 128 21 15    -5
2024 128 21 20    -5
2024 128 21 25    -4
2024 128 21 30    -5
2024 128 21 35    -4
2024 128 21 40    -4
2024 128 21 45    -2
2024 128 21 50    -2
2024 128 21 55    -2
2024 128 22  0    -3
2024 128 22  5    -3
2024 128 22 10    -2
2024 128 22 15     0
2024 128 22 20    -1
2024 128 22 25    -1
2024 128 22 30    -2
2024 128 22 35    -2
2024 128 22 40    -2
2024 128 22 45    -3
2024 128 22 50    -3
2024 128 22 55    -3
