Listing for omni2 data from 20240507 to 20240515
Selected parameters:
 1 BZ, nT (GSM)
 2 SW Plasma Temperature, K
 3 SW Proton Density, N/cm^3
 4 SW Plasma Speed, km/s
 5 Flow pressure

YEAR DOY HR    1        2     3     4     5 
2024 128  0  -0.0  156154.   3.9  529.  2.14
2024 128  1   1.1  136447.   3.6  507.  1.79
2024 128  2   1.0  123839.   3.7  529.  1.96
2024 128  3   0.8  132534.   3.7  538.  2.02
2024 128  4   3.5  167914.   3.1  531.  1.69
2024 128  5   1.3  164252.   2.4  510.  1.20
2024 128  6   1.9  153261.   2.9  524.  1.52
2024 128  7   0.9  145778.   2.9  525.  1.50
2024 128  8   2.7  142645.   3.0  534.  1.60
2024 128  9   2.0  121423.   2.4  512.  1.19
2024 128 10  -1.1  110317.   2.2  515.  1.10
2024 128 11  -0.3  115456.   2.2  515.  1.10
2024 128 12   0.9  136101.   2.6  520.  1.31
2024 128 13   2.7  119749.   2.5  511.  1.23
2024 128 14   0.5  122229.   2.3  508.  1.12
2024 128 15   0.5   97210.   2.2  497.  1.04
2024 128 16  -0.5  115559.   2.5  509.  1.26
2024 128 17   0.2  161798.   2.9  516.  1.49
2024 128 18   2.1  105393.   2.6  519.  1.36
2024 128 19   0.5  106260.   2.6  518.  1.35
2024 128 20   0.4  140055.   2.7  536.  1.53
2024 128 21  -0.5  142191.   2.8  528.  1.52
2024 128 22   0.1  141865.   2.5  504.  1.28
2024 128 23   2.1  127890.   2.5  493.  1.23
2024 129  0   2.3   95932.   2.7  522.  1.48
2024 129  1   2.1   96089.   2.6  516.  1.42
2024 129  2  -0.5   99291.   2.8  494.  1.41
2024 129  3  -0.7   96699.   2.7  487.  1.33
2024 129  4   0.8   94724.   2.7  487.  1.31
2024 129  5   0.4   98652.   2.7  479.  1.29
2024 129  6   1.5   95562.   2.7  474.  1.26
2024 129  7   0.7   97393.   2.8  478.  1.31
2024 129  8   1.2   84410.   2.7  478.  1.24
2024 129  9  -0.3   85434.   2.6  491.  1.26
2024 129 10   0.7   85691.   2.6  484.  1.23
2024 129 11   0.4   85729.   2.7  462.  1.17
2024 129 12   0.5   83049.   2.7  471.  1.20
2024 129 13  -0.5   80844.   2.7  459.  1.16
2024 129 14   1.7   81534.   2.8  468.  1.22
2024 129 15   2.3   78871.   3.0  469.  1.30
2024 129 16   0.1   56944.   2.7  478.  1.20
2024 129 17   1.1   52534.   2.7  473.  1.15
2024 129 18   1.7   57336.   2.8  468.  1.18
2024 129 19   1.1   54554.   2.8  469.  1.18
2024 129 20   1.7   66426.   2.9  460.  1.21
2024 129 21   1.5   68395.   2.8  458.  1.17
2024 129 22   0.7   78139.   2.8  457.  1.19
